Year,Month,Monthly Anom,Monthly Unc,Annual Anom,Annual Unc,5-year Anom,5-year Unc,10-year Anom,10-year Unc,20-year Anom,20-year Unc
1758,2,-3.344,3.616,-2.190,1.251,-1.393,1.341,-1.163,1.276,,
1758,3,-2.373,3.399,-2.569,1.252,-1.408,1.336,-1.202,1.262,,
1758,4,-1.642,3.052,-2.871,1.370,-1.488,1.364,-1.209,1.257,,
1758,5,-2.735,2.555,-2.783,1.552,-1.491,1.356,-1.225,1.252,,
1758,6,-1.620,2.524,-2.689,1.611,-1.501,1.351,-1.239,1.238,,
1758,7,-1.955,2.886,-2.210,1.692,-1.557,1.377,-1.228,1.233,,
1758,8,-3.277,1.889,-1.886,1.712,-1.620,1.371,-1.227,1.232,,
1758,9,-2.389,2.173,-1.816,1.768,-1.597,1.374,-1.227,1.220,,
1758,10,-6.698,2.691,-1.882,1.715,-1.635,1.379,-1.245,1.210,,
1758,11,-0.807,3.484,-1.828,1.667,-1.633,1.366,-1.253,1.205,,
1758,12,-1.229,2.573,-1.769,1.687,-1.592,1.331,-1.236,1.212,,
1759,1,1.562,3.094,-1.853,1.788,-1.518,1.320,-1.247,1.232,,
1759,2,0.547,5.052,-1.620,1.688,-1.485,1.311,-1.200,1.266,,
1759,3,-1.524,2.317,-1.474,1.724,-1.479,1.321,-1.191,1.269,,
1759,4,-2.436,2.917,-1.064,1.689,-1.504,1.335,-1.230,1.276,,
1759,5,-2.093,2.370,-1.212,1.645,-1.487,1.346,-1.251,1.282,,
1759,6,-0.905,1.977,-1.500,1.775,-1.536,1.344,-1.273,1.266,,
1759,7,-2.966,2.237,-1.980,1.843,-1.443,1.353,-1.288,1.265,,
1759,8,-0.478,3.246,-2.090,1.679,-1.442,1.377,-1.290,1.258,,
1759,9,-0.637,2.781,-2.315,1.629,-1.454,1.384,-1.293,1.257,,
1759,10,-1.779,2.727,-2.294,1.661,-1.455,1.382,-1.291,1.233,,
1759,11,-2.582,2.710,-2.260,1.669,-1.489,1.370,-1.300,1.218,,
1759,12,-4.690,2.913,-2.412,1.732,-1.548,1.359,-1.296,1.193,,
1760,1,-4.201,3.143,-2.463,2.018,-1.602,1.355,-1.291,1.213,,
1760,2,-0.770,3.466,-2.592,2.100,-1.649,1.361,-1.271,1.232,,
1760,3,-4.226,3.897,-2.711,2.197,-1.721,1.371,-1.243,1.215,,
1760,4,-2.187,2.861,-2.779,2.145,-1.719,1.373,-1.242,1.194,,
1760,5,-1.680,2.393,-2.635,1.990,-1.685,1.394,-1.253,1.164,,
1760,6,-2.727,2.711,-2.438,1.742,-1.665,1.414,-1.278,1.158,,
1760,7,-3.581,2.806,-2.283,1.740,-1.629,1.437,-1.282,1.151,,
1760,8,-2.020,2.502,-2.356,1.763,-1.624,1.430,-1.276,1.156,,
1760,9,-2.066,2.273,-2.034,1.800,-1.663,1.423,-1.278,1.145,,
1760,10,-2.598,2.180,-1.976,1.749,-1.668,1.415,-1.308,1.163,,
1760,11,-0.852,3.442,-1.748,1.681,-1.654,1.412,-1.311,1.170,,
1760,12,-2.335,4.276,-1.366,1.601,-1.671,1.420,-1.309,1.162,,
1761,1,-2.342,3.944,-0.835,1.546,-1.634,1.419,-1.349,1.164,,
1761,2,-1.643,3.637,-0.645,1.475,-1.603,1.430,-1.358,1.137,,
1761,3,-0.364,2.455,-0.501,1.498,-1.582,1.434,-1.343,1.140,,
1761,4,-1.484,1.597,-0.521,1.524,-1.514,1.422,-1.356,1.159,,
1761,5,1.059,1.716,-0.521,1.482,-1.531,1.398,-1.367,1.161,,
1761,6,1.854,2.820,-0.775,1.390,-1.528,1.391,-1.365,1.168,,
1761,7,2.792,2.767,-0.314,1.441,-1.579,1.388,-1.362,1.171,,
1761,8,0.252,1.732,-0.129,1.582,-1.552,1.372,-1.351,1.170,,
1761,9,-0.339,3.938,-0.304,1.756,-1.542,1.359,-1.346,1.159,,
1761,10,-2.834,2.480,-0.215,1.771,-1.525,1.362,-1.343,1.155,,
1761,11,-0.854,2.720,-0.420,1.648,-1.523,1.373,-1.322,1.181,,
1761,12,-5.378,3.711,-0.729,1.696,-1.561,1.376,-1.314,1.173,-1.178,1.447
1762,1,3.189,3.894,-1.132,1.691,-1.553,1.368,-1.325,1.135,-1.172,1.490
1762,2,0.578,5.184,-1.197,1.689,-1.579,1.363,-1.328,1.093,-1.189,1.486
1762,3,-2.470,4.004,-1.349,1.551,-1.601,1.358,-1.305,1.086,-1.200,1.485
1762,4,-0.405,2.241,-1.360,1.550,-1.563,1.304,-1.324,1.077,-1.194,1.481
1762,5,-1.407,3.594,-1.276,1.649,-1.537,1.261,-1.343,1.069,-1.203,1.466
1762,6,-1.854,2.628,-0.925,1.611,-1.442,1.200,-1.356,1.058,-1.207,1.488
1762,7,-2.039,2.956,-1.359,1.753,-1.364,1.191,-1.379,1.052,-1.208,1.513
