Year,Month,Monthly Anom,Monthly Unc,Annual Anom,Annual Unc,5-year Anom,5-year Unc,10-year Anom,10-year Unc,20-year Anom,20-year Unc
1811,12,0.156,1.886,-1.792,0.996,-1.439,0.625,-1.282,0.556,-0.938,0.455
1812,1,-1.288,4.072,-1.618,0.992,-1.443,0.623,-1.276,0.552,-0.944,0.454
1812,2,-3.019,2.867,-1.469,1.013,-1.447,0.610,-1.273,0.560,-0.943,0.446
1812,3,-3.092,2.261,-1.491,0.944,-1.455,0.597,-1.273,0.572,-0.935,0.437
1812,4,-1.547,2.900,-1.435,0.841,-1.473,0.603,-1.262,0.572,-0.936,0.432
1812,5,-1.930,1.229,-1.367,0.927,-1.413,0.616,-1.261,0.575,-0.936,0.431
1812,6,-1.746,1.078,-1.569,0.869,-1.341,0.636,-1.281,0.575,-0.939,0.430
1812,7,-0.151,1.108,-1.777,0.691,-1.326,0.613,-1.298,0.569,-0.940,0.427
1812,8,1.253,1.305,-1.618,0.661,-1.331,0.626,-1.299,0.561,-0.941,0.429
1812,9,-1.970,2.541,-1.680,0.680,-1.349,0.597,-1.332,0.555,-0.947,0.426
1812,10,-1.574,1.263,-1.570,0.799,-1.347,0.606,-1.356,0.558,-0.953,0.423
1812,11,-1.473,2.322,-1.409,0.929,-1.337,0.609,-1.368,0.559,-0.956,0.423
1812,12,-2.268,2.396,-1.317,0.919,-1.351,0.605,-1.401,0.566,-0.964,0.417
1813,1,-3.792,2.582,-1.324,0.989,-1.326,0.590,-1.400,0.549,-0.962,0.418
1813,2,-1.110,1.867,-1.505,0.943,-1.309,0.600,-1.411,0.552,-0.961,0.418
1813,3,-3.833,1.599,-1.333,0.909,-1.284,0.582,-1.401,0.552,-0.962,0.413
1813,4,-0.228,1.849,-1.261,0.929,-1.279,0.566,-1.380,0.571,-0.969,0.409
1813,5,0.001,3.636,-1.074,1.046,-1.283,0.565,-1.366,0.568,-0.973,0.409
1813,6,-0.635,0.975,-0.986,0.974,-1.309,0.556,-1.363,0.567,-0.974,0.406
1813,7,-0.235,1.220,-0.727,0.915,-1.282,0.507,-1.372,0.558,-0.976,0.407
1813,8,-0.921,0.793,-0.756,0.876,-1.283,0.520,-1.372,0.550,-0.983,0.408
1813,9,0.093,2.016,-0.664,0.954,-1.281,0.528,-1.392,0.551,-0.990,0.406
1813,10,-0.707,1.561,-0.760,0.898,-1.262,0.523,-1.404,0.543,-1.000,0.401
1813,11,0.767,1.634,-0.939,0.757,-1.254,0.511,-1.399,0.552,-1.005,0.398
1813,12,-1.217,2.157,-0.961,0.764,-1.268,0.505,-1.384,0.559,-1.006,0.401
1814,1,-0.683,2.844,-1.105,0.769,-1.266,0.504,-1.377,0.557,-1.005,0.404
1814,2,-1.456,2.155,-1.120,0.777,-1.280,0.486,-1.367,0.557,-1.003,0.398
1814,3,-2.723,2.484,-1.256,0.761,-1.282,0.475,-1.370,0.552,-0.999,0.393
1814,4,-1.383,1.276,-1.337,0.804,-1.305,0.470,-1.376,0.558,-1.003,0.389
1814,5,-2.154,1.960,-1.335,0.911,-1.298,0.474,-1.372,0.566,-1.007,0.387
1814,6,-0.899,1.385,-1.009,0.984,-1.338,0.467,-1.376,0.561,-1.008,0.389
1814,7,-1.959,2.034,-1.001,0.932,-1.330,0.473,-1.374,0.551,-1.012,0.387
1814,8,-1.105,1.535,-0.956,1.105,-1.271,0.480,-1.379,0.543,-1.016,0.388
1814,9,-1.534,1.236,-0.866,0.883,-1.230,0.495,-1.380,0.537,-1.019,0.389
1814,10,-1.676,2.017,-0.901,0.927,-1.208,0.513,-1.379,0.533,-1.024,0.383
1814,11,0.783,2.852,-0.853,1.010,-1.208,0.518,-1.363,0.531,-1.030,0.375
1814,12,2.700,2.692,-0.985,0.999,-1.222,0.528,-1.356,0.534,-1.020,0.368
1815,1,-0.585,1.794,-0.829,1.007,-1.259,0.539,-1.359,0.532,-1.021,0.358
1815,2,-0.914,3.849,-0.789,1.081,-1.290,0.539,-1.361,0.537,-1.021,0.357
1815,3,-1.643,2.423,-0.737,1.014,-1.315,0.516,-1.362,0.533,-1.023,0.357
1815,4,-1.811,1.820,-0.763,0.842,-1.340,0.515,-1.342,0.536,-1.019,0.357
1815,5,-1.574,1.767,-1.003,0.706,-1.337,0.524,-1.322,0.531,-1.020,0.358
1815,6,-2.479,1.178,-1.421,0.713,-1.351,0.521,-1.311,0.525,-1.023,0.354
1815,7,-0.090,1.610,-1.355,0.675,-1.309,0.495,-1.305,0.520,-1.027,0.356
1815,8,-0.624,1.594,-1.494,0.687,-1.330,0.498,-1.306,0.522,-1.035,0.356
1815,9,-0.916,1.239,-1.476,0.735,-1.263,0.494,-1.294,0.520,-1.039,0.361
1815,10,-1.987,2.118,-1.384,0.799,-1.236,0.509,-1.290,0.518,-1.037,0.360
1815,11,-2.090,1.688,-1.323,0.819,-1.241,0.518,-1.288,0.517,-1.030,0.351
1815,12,-2.320,2.320,-1.283,0.828,-1.229,0.540,-1.294,0.525,-1.034,0.355
1816,1,0.206,3.662,-1.457,0.870,-1.243,0.542,-1.280,0.513,-1.038,0.358
1816,2,-2.580,3.338,-1.517,0.918,-1.239,0.539,-1.254,0.492,-1.044,0.361
1816,3,-1.422,1.665,-1.590,0.907,-1.270,0.540,-1.243,0.494,-1.043,0.363
1816,4,-0.717,2.188,-1.728,0.890,-1.304,0.532,-1.233,0.488,-1.041,0.362
1816,5,-0.841,1.373,-1.709,0.865,-1.333,0.561,-1.222,0.482,-1.039,0.366
1816,6,-1.994,1.197,-1.706,0.784,-1.326,0.565,-1.222,0.479,-1.036,0.366
1816,7,-2.175,1.550,-1.791,0.882,-1.337,0.571,-1.216,0.470,-1.033,0.364
1816,8,-1.353,1.045,-1.530,0.753,-1.330,0.603,-1.220,0.460,-1.039,0.366
1816,9,-1.792,1.079,-1.466,0.765,-1.325,0.594,-1.223,0.463,-1.044,0.363
1816,10,-3.634,3.381,-1.423,0.735,-1.324,0.601,-1.213,0.460,-1.043,0.359
1816,11,-1.871,3.438,-1.514,0.742,-1.311,0.603,-1.199,0.457,-1.036,0.355
1816,12,-2.284,2.328,-1.562,0.755,-1.314,0.597,-1.209,0.456,-1.031,0.356
1817,1,-0.810,2.278,-1.578,0.751,-1.305,0.573,-1.198,0.459,-1.020,0.358
1817,2,0.556,2.710,-1.517,0.738,-1.310,0.563,-1.166,0.447,-1.018,0.360
1817,3,-0.661,2.470,-1.656,0.764,-1.304,0.571,-1.122,0.429,-1.013,0.359
1817,4,-0.197,1.413,-1.611,0.733,-1.285,0.553,-1.113,0.426,-1.002,0.361
1817,5,-1.934,1.301,-1.562,0.748,-1.314,0.551,-1.104,0.426,-0.991,0.360
1817,6,-2.572,1.505,-1.634,0.776,-1.371,0.562,-1.094,0.426,-0.991,0.355
1817,7,-2.370,1.126,-1.671,0.792,-1.392,0.564,-1.097,0.424,-0.989,0.350
1817,8,-0.614,1.020,-1.914,0.820,-1.391,0.579,-1.114,0.428,-0.988,0.347
1817,9,-3.468,1.748,-1.846,0.802,-1.375,0.599,-1.110,0.416,-0.994,0.347
1817,10,-3.093,1.628,-1.710,0.885,-1.336,0.602,-1.110,0.406,-0.996,0.351
1817,11,-1.277,1.602,-1.577,0.923,-1.308,0.589,-1.111,0.408,-0.996,0.351
1817,12,-3.149,2.075,-1.355,1.039,-1.272,0.579,-1.114,0.390,-1.002,0.352
1818,1,-1.256,1.896,-1.246,1.072,-1.285,0.588,-1.091,0.382,-1.004,0.348
1818,2,-2.364,2.093,-1.254,1.052,-1.304,0.595,-1.091,0.381,-1.005,0.348
1818,3,0.166,2.298,-1.110,1.148,-1.305,0.603,-1.063,0.372,-0.999,0.349
1818,4,1.432,3.741,-1.081,1.155,-1.301,0.615,-1.069,0.366,-0.993,0.354
1818,5,-0.338,2.430,-1.055,1.323,-1.292,0.616,-1.077,0.361,-0.984,0.351
1818,6,0.085,2.802,-0.860,1.299,-1.279,0.626,-1.071,0.357,-0.982,0.346
1818,7,-1.056,1.647,-0.867,1.262,-1.277,0.637,-1.071,0.360,-0.983,0.342
1818,8,-0.712,0.841,-0.754,1.291,-1.226,0.573,-1.071,0.366,-0.981,0.340
1818,9,-1.742,1.315,-0.970,1.038,-1.205,0.566,-1.087,0.364,-0.993,0.339
1818,10,-2.741,1.449,-1.200,0.885,-1.203,0.549,-1.095,0.355,-0.990,0.333
1818,11,-0.966,3.272,-1.286,0.892,-1.191,0.540,-1.115,0.352,-0.985,0.330
1818,12,-0.809,1.506,-1.384,0.779,-1.177,0.537,-1.115,0.360,-0.978,0.324
1819,1,-1.339,1.970,-1.418,0.753,-1.165,0.518,-1.108,0.365,-0.971,0.321
1819,2,-1.009,2.640,-1.475,0.760,-1.159,0.515,-1.101,0.360,-0.968,0.317
1819,3,-2.427,3.268,-1.427,0.744,-1.165,0.529,-1.079,0.354,-0.962,0.320
1819,4,-1.325,1.376,-1.244,0.728,-1.121,0.527,-1.067,0.349,-0.962,0.325
1819,5,-1.367,2.306,-1.241,0.696,-1.101,0.528,-1.050,0.340,-0.955,0.324
1819,6,-1.097,1.466,-1.236,0.716,-1.080,0.515,-1.045,0.345,-0.956,0.325
1819,7,-1.459,1.087,-1.278,0.744,-1.066,0.520,-1.026,0.334,-0.951,0.325
1819,8,-1.404,1.241,-1.264,0.840,-1.061,0.482,-1.022,0.333,-0.950,0.324
1819,9,-1.165,1.223,-1.118,0.844,-1.014,0.428,-1.015,0.338,-0.952,0.321
1819,10,-0.545,1.223,-0.965,0.831,-1.017,0.409,-1.011,0.324,-0.953,0.317
1819,11,-0.927,1.690,-0.840,0.734,-1.000,0.399,-1.022,0.311,-0.945,0.313
1819,12,-0.747,1.744,-0.775,0.708,-0.966,0.391,-1.033,0.303,-0.942,0.313
1820,1,-1.843,1.771,-0.727,0.719,-0.934,0.383,-1.026,0.297,-0.934,0.311
1820,2,-0.849,2.467,-0.757,0.736,-0.938,0.386,-1.022,0.292,-0.927,0.304
1820,3,-0.670,1.489,-0.741,0.788,-0.906,0.385,-1.011,0.297,-0.928,0.304
1820,4,0.509,1.412,-0.841,0.767,-0.881,0.376,-0.989,0.294,-0.919,0.303
1820,5,0.140,1.268,-0.893,0.759,-0.886,0.366,-0.979,0.292,-0.914,0.303
1820,6,-0.324,0.833,-0.958,0.791,-0.877,0.334,-0.959,0.287,-0.911,0.300
1820,7,-0.880,0.818,-0.778,0.666,-0.873,0.345,-0.965,0.287,-0.903,0.295
1820,8,-1.761,1.158,-0.667,0.488,-0.852,0.338,-0.968,0.285,-0.899,0.296
1820,9,-0.980,1.154,-0.626,0.462,-0.863,0.322,-0.971,0.290,-0.896,0.295
1820,10,-1.739,0.969,-0.718,0.461,-0.903,0.300,-0.964,0.292,-0.892,0.295
1820,11,-1.550,1.270,-0.739,0.468,-0.912,0.297,-0.946,0.284,-0.879,0.291
1820,12,-1.537,1.853,-0.807,0.444,-0.912,0.296,-0.929,0.279,-0.872,0.287
1821,1,0.318,1.819,-0.858,0.472,-0.900,0.307,-0.936,0.291,-0.867,0.285
1821,2,0.484,3.011,-0.793,0.486,-0.903,0.315,-0.928,0.285,-0.860,0.286
1821,3,-0.176,1.191,-0.890,0.531,-0.903,0.315,-0.921,0.287,-0.857,0.290
1821,4,-0.587,0.958,-0.827,0.558,-0.886,0.318,-0.915,0.281,-0.852,0.290
1821,5,-0.112,0.708,-0.755,0.617,-0.898,0.322,-0.903,0.280,-0.848,0.290
1821,6,-1.146,1.083,-0.714,0.666,-0.905,0.322,-0.889,0.276,-0.846,0.290
1821,7,-1.495,1.093,-0.738,0.620,-0.879,0.316,-0.871,0.274,-0.840,0.289
1821,8,-0.973,0.931,-0.703,0.570,-0.872,0.317,-0.866,0.276,-0.845,0.287
1821,9,-2.145,1.475,-0.512,0.728,-0.833,0.319,-0.859,0.274,-0.847,0.285
1821,10,-0.990,1.047,-0.494,0.808,-0.811,0.323,-0.834,0.275,-0.844,0.287
1821,11,-0.685,1.582,-0.560,0.827,-0.790,0.334,-0.812,0.280,-0.841,0.288
1821,12,-1.046,1.175,-0.507,0.838,-0.777,0.333,-0.780,0.279,-0.848,0.292
1822,1,0.036,1.546,-0.424,0.868,-0.747,0.336,-0.764,0.289,-0.845,0.298
1822,2,0.901,2.606,-0.413,0.841,-0.733,0.333,-0.764,0.285,-0.838,0.300
1822,3,2.117,3.284,-0.361,0.907,-0.725,0.336,-0.753,0.278,-0.828,0.300
1822,4,-0.373,1.965,-0.410,0.940,-0.737,0.348,-0.741,0.280,-0.824,0.304
1822,5,-0.905,0.836,-0.487,0.862,-0.730,0.370,-0.722,0.278,-0.819,0.305
1822,6,-0.504,0.818,-0.617,0.954,-0.695,0.381,-0.701,0.273,-0.816,0.303
1822,7,-0.500,0.964,-0.702,0.892,-0.660,0.408,-0.680,0.270,-0.820,0.304
1822,8,-0.839,0.872,-0.873,0.702,-0.654,0.434,-0.677,0.270,-0.833,0.305
1822,9,-1.526,1.308,-1.091,0.566,-0.646,0.439,-0.656,0.270,-0.833,0.302
1822,10,-1.576,1.390,-1.137,0.521,-0.642,0.453,-0.637,0.278,-0.829,0.300
1822,11,-1.609,1.111,-1.137,0.522,-0.651,0.458,-0.624,0.274,-0.830,0.299
1822,12,-2.611,2.096,-1.088,0.561,-0.645,0.469,-0.603,0.269,-0.831,0.293
1823,1,-0.977,1.798,-1.073,0.528,-0.646,0.470,-0.607,0.276,-0.816,0.287
1823,2,-1.150,1.514,-1.079,0.516,-0.631,0.473,-0.598,0.281,-0.814,0.287
1823,3,-0.505,1.281,-1.097,0.461,-0.637,0.473,-0.597,0.283,-0.803,0.286
1823,4,-0.919,0.973,-1.108,0.472,-0.627,0.482,-0.605,0.284,-0.804,0.285
1823,5,-0.907,0.959,-1.112,0.468,-0.600,0.510,-0.603,0.288,-0.807,0.284
1823,6,0.083,0.901,-0.997,0.464,-0.580,0.521,-0.602,0.288,-0.807,0.285
1823,7,-0.315,1.007,-0.900,0.481,-0.595,0.498,-0.593,0.294,-0.810,0.284
1823,8,-0.920,1.094,-0.851,0.491,-0.631,0.460,-0.591,0.296,-0.810,0.286
1823,9,-1.734,1.057,-0.817,0.524,-0.637,0.454,-0.594,0.296,-0.815,0.283
1823,10,-1.712,1.438,-0.739,0.545,-0.626,0.451,-0.576,0.300,-0.817,0.281
1823,11,-1.657,1.036,-0.677,0.597,-0.615,0.451,-0.571,0.294,-0.818,0.282
1823,12,-1.228,2.038,-0.707,0.606,-0.602,0.455,-0.571,0.296,-0.814,0.283
1824,1,0.176,1.644,-0.654,0.619,-0.576,0.447,-0.566,0.297,-0.820,0.288
1824,2,-0.551,2.105,-0.625,0.607,-0.572,0.435,-0.570,0.301,-0.817,0.289
1824,3,-0.103,1.632,-0.539,0.582,-0.553,0.445,-0.554,0.311,-0.804,0.286
1824,4,0.019,1.264,-0.499,0.574,-0.548,0.449,-0.549,0.312,-0.799,0.287
1824,5,-0.159,0.976,-0.405,0.560,-0.523,0.445,-0.538,0.318,-0.791,0.285
1824,6,-0.278,1.552,-0.189,0.704,-0.480,0.449,-0.536,0.318,-0.790,0.284
1824,7,0.319,0.911,-0.180,0.899,-0.461,0.445,-0.527,0.318,-0.785,0.280
1824,8,-0.570,0.998,-0.174,0.793,-0.467,0.423,-0.521,0.316,-0.784,0.279
1824,9,-0.703,0.843,-0.185,0.743,-0.492,0.400,-0.525,0.316,-0.780,0.281
1824,10,-1.235,1.569,-0.121,0.708,-0.465,0.383,-0.526,0.323,-0.777,0.279
1824,11,-0.532,2.310,-0.141,0.666,-0.443,0.381,-0.527,0.330,-0.778,0.276
1824,12,1.368,2.804,-0.118,0.815,-0.436,0.386,-0.528,0.331,-0.790,0.277
1825,1,0.279,2.709,-0.221,0.790,-0.425,0.383,-0.508,0.336,-0.786,0.276
1825,2,-0.472,1.390,-0.247,0.835,-0.415,0.378,-0.493,0.346,-0.784,0.270
1825,3,-0.242,1.337,-0.298,0.774,-0.406,0.366,-0.495,0.347,-0.781,0.272
1825,4,0.788,1.044,-0.290,0.735,-0.392,0.354,-0.496,0.351,-0.776,0.269
1825,5,-0.398,0.998,-0.240,0.745,-0.363,0.361,-0.506,0.351,-0.775,0.267
1825,6,0.002,1.263,-0.383,0.585,-0.329,0.344,-0.511,0.349,-0.771,0.267
1825,7,-0.919,0.758,-0.453,0.480,-0.342,0.343,-0.501,0.351,-0.778,0.266
1825,8,-0.875,0.674,-0.555,0.480,-0.344,0.358,-0.492,0.347,-0.783,0.264
1825,9,-1.315,1.526,-0.578,0.488,-0.330,0.363,-0.498,0.352,-0.788,0.264
1825,10,-1.148,1.131,-0.640,0.500,-0.308,0.366,-0.494,0.350,-0.786,0.270
1825,11,0.069,2.430,-0.561,0.492,-0.294,0.375,-0.470,0.353,-0.785,0.269
1825,12,-0.347,1.256,-0.592,0.522,-0.291,0.377,-0.449,0.362,-0.784,0.266
1826,1,-0.566,1.891,-0.507,0.515,-0.287,0.379,-0.455,0.356,-0.787,0.271
1826,2,-1.688,1.848,-0.499,0.519,-0.279,0.379,-0.466,0.340,-0.780,0.267
1826,3,-0.522,1.305,-0.473,0.480,-0.285,0.374,-0.471,0.336,-0.774,0.266
1826,4,0.050,1.474,-0.430,0.477,-0.267,0.375,-0.471,0.334,-0.777,0.261
1826,5,0.542,0.855,-0.370,0.527,-0.244,0.376,-0.474,0.336,-0.779,0.259
1826,6,-0.365,0.682,-0.216,0.528,-0.238,0.387,-0.469,0.337,-0.776,0.256
1826,7,0.102,0.674,-0.071,0.568,-0.252,0.397,-0.464,0.335,-0.772,0.254
1826,8,-0.778,0.937,0.117,0.549,-0.269,0.392,-0.471,0.334,-0.774,0.253
1826,9,-1.011,0.755,0.211,0.546,-0.275,0.387,-0.471,0.336,-0.774,0.254
1826,10,-0.634,1.382,0.311,0.538,-0.287,0.378,-0.475,0.333,-0.761,0.259
1826,11,0.790,1.054,0.301,0.582,-0.286,0.373,-0.483,0.330,-0.762,0.267
1826,12,1.505,1.739,0.324,0.593,-0.296,0.369,-0.486,0.329,-0.755,0.266
1827,1,1.178,2.079,0.330,0.640,-0.307,0.361,-0.492,0.330,-0.752,0.270
1827,2,0.562,1.408,0.372,0.650,-0.310,0.365,-0.510,0.326,-0.757,0.267
1827,3,0.614,1.534,0.375,0.591,-0.324,0.365,-0.535,0.319,-0.761,0.265
1827,4,1.248,1.589,0.365,0.600,-0.315,0.367,-0.535,0.316,-0.769,0.263
1827,5,0.416,1.172,0.314,0.605,-0.323,0.371,-0.535,0.317,-0.768,0.261
1827,6,-0.082,1.142,0.141,0.551,-0.361,0.382,-0.539,0.317,-0.764,0.259
1827,7,0.168,0.999,-0.105,0.519,-0.357,0.394,-0.544,0.317,-0.760,0.259
1827,8,-0.266,0.727,-0.256,0.549,-0.333,0.391,-0.552,0.316,-0.763,0.257
1827,9,-0.985,0.907,-0.281,0.620,-0.343,0.388,-0.555,0.318,-0.755,0.260
1827,10,-0.745,1.175,-0.352,0.617,-0.350,0.386,-0.548,0.316,-0.749,0.263
1827,11,0.177,0.968,-0.389,0.646,-0.362,0.386,-0.549,0.317,-0.751,0.261
1827,12,-0.575,1.784,-0.364,0.688,-0.376,0.388,-0.547,0.316,-0.743,0.259
1828,1,-1.777,1.899,-0.383,0.763,-0.357,0.388,-0.542,0.310,-0.750,0.264
1828,2,-1.244,1.726,-0.397,0.779,-0.354,0.389,-0.537,0.312,-0.747,0.266
1828,3,0.307,1.542,-0.492,0.764,-0.360,0.392,-0.542,0.314,-0.755,0.265
1828,4,0.404,1.583,-0.480,0.686,-0.362,0.399,-0.540,0.316,-0.766,0.264
1828,5,-0.033,1.522,-0.518,0.666,-0.340,0.412,-0.538,0.319,-0.770,0.264
1828,6,0.222,0.772,-0.542,0.608,-0.319,0.405,-0.544,0.319,-0.775,0.264
1828,7,-0.063,1.038,-0.449,0.615,-0.315,0.402,-0.549,0.319,-0.772,0.265
1828,8,-0.438,0.934,-0.477,0.579,-0.300,0.397,-0.549,0.319,-0.772,0.266
1828,9,-2.121,0.667,-0.544,0.563,-0.305,0.397,-0.543,0.317,-0.770,0.268
1828,10,-0.601,1.036,-0.633,0.542,-0.317,0.390,-0.539,0.318,-0.762,0.269
1828,11,-0.279,1.345,-0.640,0.561,-0.333,0.393,-0.520,0.316,-0.762,0.265
1828,12,-0.864,2.817,-0.732,0.558,-0.336,0.394,-0.512,0.312,-0.762,0.265
1829,1,-0.660,1.711,-0.753,0.516,-0.353,0.398,-0.532,0.311,-0.757,0.267
1829,2,-1.583,1.705,-0.779,0.517,-0.369,0.401,-0.532,0.312,-0.752,0.268
1829,3,-0.491,1.423,-0.732,0.517,-0.388,0.398,-0.529,0.312,-0.753,0.276
1829,4,-0.668,1.304,-0.740,0.529,-0.403,0.403,-0.531,0.311,-0.750,0.276
1829,5,-0.120,1.145,-0.801,0.535,-0.442,0.412,-0.531,0.309,-0.749,0.278
1829,6,-0.873,0.961,-0.806,0.595,-0.491,0.408,-0.536,0.304,-0.748,0.277
1829,7,-0.325,0.942,-0.704,0.635,-0.522,0.398,-0.543,0.303,-0.743,0.277
1829,8,-0.741,1.020,-0.495,0.578,-0.554,0.401,-0.545,0.305,-0.737,0.278
1829,9,-1.556,0.687,-0.523,0.570,-0.577,0.408,-0.546,0.306,-0.738,0.278
1829,10,-0.700,0.818,-0.436,0.547,-0.604,0.399,-0.542,0.308,-0.740,0.284
1829,11,-1.009,1.224,-0.521,0.541,-0.626,0.400,-0.533,0.313,-0.745,0.288
1829,12,-0.923,1.774,-0.516,0.540,-0.642,0.408,-0.548,0.319,-0.752,0.290
1830,1,0.560,1.708,-0.472,0.570,-0.663,0.420,-0.546,0.324,-0.743,0.292
1830,2,0.922,2.000,-0.466,0.564,-0.689,0.420,-0.545,0.323,-0.744,0.298
1830,3,-0.826,1.243,-0.478,0.592,-0.704,0.423,-0.551,0.322,-0.748,0.299
1830,4,0.382,0.924,-0.525,0.610,-0.703,0.408,-0.563,0.320,-0.752,0.301
1830,5,-1.137,1.064,-0.324,0.574,-0.736,0.403,-0.570,0.318,-0.754,0.303
1830,6,-0.822,1.030,-0.170,0.625,-0.766,0.393,-0.583,0.322,-0.754,0.302
1830,7,0.209,0.981,-0.244,0.587,-0.742,0.381,-0.590,0.322,-0.751,0.302
1830,8,-0.675,1.201,-0.389,0.519,-0.730,0.375,-0.598,0.323,-0.748,0.301
1830,9,-1.696,1.001,-0.389,0.545,-0.755,0.374,-0.606,0.322,-0.749,0.305
1830,10,-1.265,1.013,-0.475,0.556,-0.771,0.371,-0.607,0.328,-0.750,0.304
1830,11,1.401,1.365,-0.415,0.575,-0.782,0.363,-0.624,0.337,-0.752,0.305
1830,12,0.923,1.682,-0.393,0.560,-0.796,0.367,-0.638,0.335,-0.752,0.308
1831,1,-0.329,1.479,-0.487,0.575,-0.811,0.362,-0.639,0.335,-0.761,0.306
1831,2,-0.819,2.335,-0.577,0.553,-0.819,0.359,-0.631,0.334,-0.766,0.301
1831,3,-0.823,1.627,-0.614,0.526,-0.800,0.361,-0.628,0.332,-0.774,0.300
1831,4,-0.645,1.009,-0.635,0.508,-0.812,0.356,-0.639,0.327,-0.779,0.300
1831,5,-0.420,1.353,-0.882,0.564,-0.796,0.351,-0.654,0.327,-0.782,0.300
1831,6,-0.560,0.711,-1.077,0.692,-0.787,0.360,-0.663,0.324,-0.781,0.300
1831,7,-0.915,0.572,-1.107,0.734,-0.813,0.369,-0.674,0.324,-0.775,0.299
1831,8,-1.760,0.737,-1.151,0.665,-0.796,0.368,-0.683,0.325,-0.773,0.298
1831,9,-2.138,0.650,-1.147,0.629,-0.782,0.361,-0.688,0.325,-0.771,0.299
1831,10,-1.516,1.083,-1.126,0.629,-0.776,0.351,-0.688,0.326,-0.769,0.300
1831,11,-1.561,1.451,-1.165,0.616,-0.776,0.347,-0.712,0.326,-0.772,0.296
1831,12,-1.418,2.190,-1.206,0.628,-0.775,0.344,-0.729,0.323,-0.773,0.297
1832,1,-0.690,1.805,-1.218,0.643,-0.780,0.343,-0.741,0.316,-0.776,0.296
1832,2,-1.352,1.931,-1.224,0.654,-0.781,0.342,-0.750,0.313,-0.782,0.291
1832,3,-0.775,1.194,-1.202,0.657,-0.768,0.340,-0.769,0.316,-0.789,0.289
1832,4,-0.395,1.056,-1.137,0.613,-0.769,0.338,-0.797,0.311,-0.789,0.286
1832,5,-0.879,1.057,-1.155,0.574,-0.743,0.334,-0.814,0.309,-0.789,0.287
1832,6,-1.051,0.732,-1.235,0.490,-0.734,0.327,-0.827,0.310,-0.792,0.287
1832,7,-1.066,1.229,-1.207,0.458,-0.736,0.319,-0.841,0.313,-0.795,0.287
1832,8,-1.833,0.759,-1.134,0.453,-0.756,0.318,-0.849,0.311,-0.795,0.288
1832,9,-1.872,0.694,-1.170,0.452,-0.759,0.318,-0.853,0.314,-0.794,0.290
1832,10,-0.738,1.134,-1.187,0.477,-0.777,0.315,-0.861,0.312,-0.792,0.290
1832,11,-1.767,1.334,-1.170,0.452,-0.777,0.312,-0.877,0.312,-0.791,0.293
1832,12,-2.388,1.457,-1.133,0.454,-0.790,0.314,-0.882,0.308,-0.779,0.292
1833,1,-0.349,1.535,-1.124,0.449,-0.822,0.317,-0.892,0.311,-0.773,0.291
1833,2,-0.480,1.305,-1.050,0.449,-0.842,0.314,-0.896,0.309,-0.766,0.293
1833,3,-1.204,1.296,-0.976,0.443,-0.851,0.313,-0.913,0.312,-0.766,0.293
1833,4,-0.594,0.964,-1.022,0.457,-0.852,0.317,-0.926,0.314,-0.765,0.294
1833,5,-0.677,0.597,-0.819,0.440,-0.908,0.321,-0.938,0.313,-0.767,0.295
1833,6,-0.605,0.661,-0.644,0.439,-0.958,0.329,-0.948,0.315,-0.773,0.295
1833,7,-0.967,0.908,-0.802,0.469,-0.963,0.331,-0.951,0.309,-0.775,0.296
1833,8,-0.945,0.783,-0.809,0.459,-0.962,0.328,-0.953,0.309,-0.775,0.297
1833,9,-0.976,0.703,-0.682,0.432,-0.951,0.322,-0.946,0.309,-0.772,0.297
1833,10,-1.297,0.862,-0.654,0.440,-0.962,0.316,-0.947,0.304,-0.768,0.298
1833,11,0.674,1.321,-0.608,0.460,-0.976,0.311,-0.952,0.302,-0.766,0.299
1833,12,-0.293,1.798,-0.627,0.474,-0.989,0.305,-0.952,0.299,-0.760,0.300
1834,1,-2.242,1.779,-0.596,0.511,-0.995,0.302,-0.949,0.304,-0.764,0.301
1834,2,-0.566,1.327,-0.586,0.544,-0.996,0.303,-0.934,0.302,-0.766,0.301
1834,3,0.329,1.214,-0.570,0.586,-0.988,0.304,-0.953,0.302,-0.769,0.299
1834,4,-0.267,0.826,-0.525,0.589,-0.973,0.305,-0.952,0.302,-0.774,0.298
1834,5,-0.118,0.751,-0.537,0.516,-0.982,0.302,-0.960,0.299,-0.779,0.297
1834,6,-0.835,0.617,-0.543,0.479,-0.967,0.305,-0.960,0.299,-0.782,0.296
1834,7,-0.601,0.708,-0.321,0.472,-0.960,0.300,-0.958,0.302,-0.786,0.294
1834,8,-0.824,0.832,-0.297,0.490,-0.947,0.293,-0.952,0.304,-0.789,0.294
1834,9,-0.780,0.805,-0.407,0.485,-0.962,0.292,-0.951,0.307,-0.791,0.295
1834,10,-0.754,0.684,-0.442,0.504,-0.989,0.290,-0.954,0.311,-0.789,0.295
1834,11,0.527,1.204,-0.530,0.506,-1.003,0.290,-0.964,0.309,-0.794,0.295
1834,12,-0.368,1.071,-0.591,0.515,-1.012,0.290,-0.975,0.313,-0.807,0.295
1835,1,0.424,1.554,-0.685,0.481,-1.019,0.293,-0.978,0.308,-0.808,0.294
1835,2,-0.283,1.614,-0.771,0.478,-1.009,0.297,-0.995,0.308,-0.813,0.294
